n_estimators,max_depth,subsample,colsample_bylevel,max_bin,reg_lambda,learning_rate,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,verbose,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
25.0,2.0,0.85,0.55,256.0,1.0,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.537791,0.550628,0.550628,0.528996,0.521409,0.521409,496278096606277.6,532125253058146.3,532125253058146.3,3.3,19260817.0,False,0.539456,0.560797,0.560797
400.0,16.0,0.4,0.85,64.0,0.0001,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.980967,0.141144,0.141144,0.107345,0.720834,0.720834,181530621596237.03,978725486557938.0,978725486557938.0,248.88,19260817.0,False,0.833333,0.54717,0.54717
25.0,16.0,0.4,0.85,256.0,1.0,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.825782,0.382631,0.382631,0.324773,0.61115,0.61115,399290901302963.25,712447054105082.8,712447054105082.8,20.88,19260817.0,False,0.792971,0.619497,0.619497
400.0,16.0,0.85,0.85,64.0,1.0,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.938071,0.257888,0.257888,0.193634,0.670054,0.670054,264782308197020.25,796445833296671.5,796445833296671.5,193.53,19260817.0,False,0.83288,0.546122,0.546122
400.0,16.0,0.4,0.85,256.0,0.0001,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.601426,0.47368,0.47368,0.491233,0.564287,0.564287,397724314817608.8,465497088522811.3,465497088522811.3,120.77,19260817.0,False,0.635374,0.539832,0.539832
400.0,2.0,0.4,0.55,256.0,0.0001,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.535609,0.560538,0.560538,0.530244,0.515627,0.515627,435978904186446.6,447920471720529.06,447920471720529.06,12.82,19260817.0,False,0.530385,0.568134,0.568134
400.0,2.0,0.85,0.85,256.0,1.0,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.607256,0.517085,0.517085,0.487627,0.540518,0.540518,450875610000668.94,539849665191130.6,539849665191130.6,20.26,19260817.0,False,0.574376,0.562893,0.562893
400.0,2.0,0.85,0.85,256.0,1.0,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.616131,0.515535,0.515535,0.482086,0.541385,0.541385,473231496619111.0,575231870280489.9,575231870280489.9,25.44,19260817.0,False,0.582313,0.559748,0.559748
25.0,16.0,0.4,0.85,256.0,1.0,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.025974,0.026707,0.026707,0.767925,0.767356,0.767356,9923522724292.62,10652889923703.203,10652889923703.203,23.15,19260817.0,False,0.542404,0.577568,0.577568
400.0,16.0,0.4,0.55,256.0,1.0,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.298806,0.302722,0.302722,0.651557,0.649498,0.649498,132597413195578.0,143322130835863.6,143322130835863.6,428.23,19260817.0,False,0.553968,0.579665,0.579665
400.0,2.0,0.4,0.85,256.0,0.0001,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.218341,0.227989,0.227989,0.687927,0.683419,0.683419,80631943295369.39,82623085247980.19,82623085247980.19,13.14,19260817.0,False,0.53356,0.597484,0.597484
25.0,16.0,0.85,0.55,64.0,1.0,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.855282,0.345334,0.345334,0.296002,0.62934,0.62934,418919036771921.0,775779130052356.4,775779130052356.4,27.2,19260817.0,False,0.806803,0.553459,0.553459
400.0,16.0,0.4,0.85,256.0,0.0001,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.303109,0.310658,0.310658,0.649555,0.645792,0.645792,131734797851768.69,144054187109610.5,144054187109610.5,265.27,19260817.0,False,0.551247,0.56499,0.56499
400.0,2.0,0.4,0.55,64.0,0.0001,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.168146,0.177308,0.177308,0.709671,0.705495,0.705495,92309510824858.9,96447235246190.3,96447235246190.3,13.27,19260817.0,False,0.510431,0.581761,0.581761
25.0,16.0,0.85,0.85,256.0,1.0,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.865455,0.362411,0.362411,0.285409,0.621077,0.621077,416181057246122.8,773909646375224.9,773909646375224.9,47.6,19260817.0,False,0.824943,0.566038,0.566038
400.0,16.0,0.4,0.85,64.0,0.0001,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.999779,0.102772,0.102772,0.011579,0.736761,0.736761,28843354038268.46,1118305995753820.4,1118305995753820.4,352.55,19260817.0,False,0.833333,0.551363,0.551363
25.0,2.0,0.4,0.85,64.0,0.0001,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.5259,0.558468,0.558468,0.535757,0.51684,0.51684,470574467893125.94,478928720643917.8,478928720643917.8,0.56,19260817.0,False,0.512698,0.566038,0.566038
25.0,2.0,0.85,0.55,64.0,1.0,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.539805,0.554328,0.554328,0.527843,0.519258,0.519258,497927571099932.4,527132448744449.5,527132448744449.5,1.12,19260817.0,False,0.523583,0.572327,0.572327
25.0,2.0,0.85,0.85,64.0,1.0,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.537644,0.556579,0.556579,0.52908,0.517944,0.517944,532500620450413.6,561184235993601.94,561184235993601.94,1.14,19260817.0,False,0.51746,0.570231,0.570231
400.0,2.0,0.85,0.55,256.0,1.0,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.168134,0.177273,0.177273,0.709676,0.70551,0.70551,92021445611464.31,96196295269704.95,96196295269704.95,9.65,19260817.0,False,0.513379,0.572327,0.572327
25.0,16.0,0.85,0.85,256.0,1.0,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.025265,0.026689,0.026689,0.768204,0.767363,0.767363,10461112309331.191,10718935973179.02,10718935973179.02,5.2,19260817.0,False,0.515873,0.580713,0.580713
25.0,2.0,0.85,0.55,256.0,0.0001,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.536288,0.555341,0.555341,0.529855,0.518667,0.518667,519351879984367.4,548246203070422.3,548246203070422.3,1.24,19260817.0,False,0.532653,0.568134,0.568134
25.0,2.0,0.85,0.85,256.0,0.0001,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.018566,0.019407,0.019407,0.770839,0.770229,0.770229,5882195652694.986,6029356279937.902,6029356279937.902,1.21,19260817.0,False,0.527211,0.554507,0.554507
400.0,16.0,0.85,0.85,64.0,1.0,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.999551,0.263407,0.263407,0.016493,0.667558,0.667558,40595205991525.24,985806991393642.4,985806991393642.4,320.36,19260817.0,False,0.833333,0.577568,0.577568
25.0,2.0,0.4,0.55,64.0,1.0,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.014265,0.014992,0.014992,0.772526,0.771961,0.771961,7111960241290.422,7403568564428.937,7403568564428.937,0.93,19260817.0,False,0.518594,0.560797,0.560797
400.0,16.0,0.4,0.85,256.0,1.0,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.999703,0.269146,0.269146,0.01341,0.664952,0.664952,34650535937039.688,1018485902423683.4,1018485902423683.4,482.76,19260817.0,False,0.833333,0.570231,0.570231
400.0,2.0,0.4,0.55,256.0,0.0001,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.178871,0.188821,0.188821,0.705081,0.700541,0.700541,99221945147785.05,103077847500255.16,103077847500255.16,10.13,19260817.0,False,0.495238,0.524109,0.524109
