max_bins,min_samples_leaf,interactions,max_leaves,learning_rate,max_rounds,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
4.0,2.0,2.0,100.0,1e-06,25.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,5.4e-05,5.6e-05,5.6e-05,0.778075,0.777791,0.777791,50990004988.99369,51305746622.27959,51305746622.27959,6.52,19260817.0,-1.0,0.501587,0.515723,0.515723
4.0,2.0,2.0,100.0,1e-06,25.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,8.7e-05,9e-05,9e-05,0.778062,0.777778,0.777778,156869758095.8362,159471434319.4784,159471434319.4784,37.95,19260817.0,-1.0,0.486848,0.481132,0.481132
4.0,2.0,2.0,100.0,1e-06,200.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.000107,0.000113,0.000113,0.778054,0.777769,0.777769,101975969647.98747,102607420119.09358,102607420119.09358,5.92,19260817.0,-1.0,0.501587,0.515723,0.515723
4.0,2.0,2.0,100.0,1e-06,200.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.000175,0.000181,0.000181,0.778028,0.777743,0.777743,313708064345.9037,318910962814.26953,318910962814.26953,51.96,19260817.0,-1.0,0.486848,0.481132,0.481132
4.0,2.0,2.0,100.0,10.0,25.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-1119.847365,-1089.537132,-1089.537132,26.049929,25.685939,25.685939,6.041410799437447e+16,5.95374013370015e+16,5.95374013370015e+16,3.24,19260817.0,-1.0,0.02381,0.013627,0.013627
4.0,2.0,2.0,100.0,10.0,25.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-1119.847365,-1089.537132,-1089.537132,26.049929,25.685939,25.685939,6.041410799437447e+16,5.95374013370015e+16,5.95374013370015e+16,38.33,19260817.0,-1.0,0.02381,0.013627,0.013627
4.0,2.0,2.0,100.0,10.0,200.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-1119.847365,-1089.537132,-1089.537132,26.049929,25.685939,25.685939,6.041410799437447e+16,5.95374013370015e+16,5.95374013370015e+16,4.62,19260817.0,-1.0,0.02381,0.013627,0.013627
4.0,2.0,2.0,100.0,10.0,200.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-1119.847365,-1089.537132,-1089.537132,26.049929,25.685939,25.685939,6.041410799437447e+16,5.95374013370015e+16,5.95374013370015e+16,49.89,19260817.0,-1.0,0.02381,0.013627,0.013627
4.0,2.0,2.0,10000.0,1e-06,25.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,5.4e-05,5.6e-05,5.6e-05,0.778075,0.777791,0.777791,50990004988.99369,51305746622.27959,51305746622.27959,4.47,19260817.0,-1.0,0.501587,0.515723,0.515723
4.0,2.0,2.0,10000.0,1e-06,25.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,8.7e-05,9e-05,9e-05,0.778062,0.777778,0.777778,156869758095.8362,159471434319.4784,159471434319.4784,37.48,19260817.0,-1.0,0.486848,0.481132,0.481132
