n_estimators,max_depth,max_samples,max_features,ccp_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
25.0,3.0,0.4,0.85,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.496288,0.527227,0.527227,0.552236,0.534812,0.534812,296385485902534.7,304725592483390.4,304725592483390.4,18.57,19260817.0,-1.0,0.507937,0.561845,0.561845
25.0,3.0,0.85,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.262048,0.275178,0.275178,0.668417,0.662202,0.662202,88547361760467.14,90434585672505.28,90434585672505.28,8.99,19260817.0,-1.0,0.514739,0.552411,0.552411
400.0,24.0,0.4,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.364794,0.3832,0.3832,0.620141,0.610868,0.610868,127192146590748.56,129947933880844.4,129947933880844.4,629.21,19260817.0,-1.0,0.514739,0.552411,0.552411
400.0,24.0,0.85,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.231967,0.243228,0.243228,0.681904,0.67664,0.67664,68423984492216.08,69925465242623.055,69925465242623.055,1306.12,19260817.0,-1.0,0.514739,0.552411,0.552411
400.0,24.0,0.85,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.403738,0.425478,0.425478,0.60083,0.589561,0.589561,156074863487687.4,159829372135049.56,159829372135049.56,2462.63,19260817.0,-1.0,0.514739,0.552411,0.552411
400.0,192.0,0.85,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.185872,0.194874,0.194874,0.702069,0.697922,0.697922,52136412889423.86,53318490684441.59,53318490684441.59,1769.39,19260817.0,-1.0,0.514739,0.552411,0.552411
25.0,192.0,0.4,0.85,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.88856,0.515711,0.515711,0.259749,0.541287,0.541287,196033274858722.9,526048671882580.4,526048671882580.4,86.65,19260817.0,-1.0,0.771202,0.606918,0.606918
25.0,3.0,0.4,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.318566,0.334119,0.334119,0.642311,0.634707,0.634707,116580477656160.28,118719826897363.56,118719826897363.6,1.0,19260817.0,-1.0,0.514739,0.552411,0.552411
400.0,24.0,0.85,0.4,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.908896,0.55378,0.55378,0.234857,0.519577,0.519577,148492086181514.47,468065878723454.6,468065878723454.6,887.78,19260817.0,-1.0,0.791156,0.585954,0.585954
25.0,192.0,0.4,0.85,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.874353,0.507721,0.507721,0.27581,0.545734,0.545734,220338195468703.84,545584875224898.8,545584875224898.8,28.75,19260817.0,-1.0,0.768481,0.58805,0.58805
