n_hidden_layers,alpha,learning_rate_init,activation,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,max_iter,learning_rate,batch_size,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
1.0,0.0001,0.001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.523381,0.558117,0.558117,0.537179,0.517046,0.517046,497430211731697.75,507052567786726.75,507052567786726.75,23.09,19260817.0,1000.0,adaptive,auto,0.513605,0.582809,0.582809
1.0,0.0001,0.001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals']",0.7765535537689908,0.501521,0.526517,0.526517,0.54936,0.535214,0.535214,617516934185311.2,631158471101333.8,631158471101333.8,11.86,19260817.0,1000.0,adaptive,auto,0.515646,0.549266,0.549266
1.0,0.0001,0.001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances']",0.7919471007529546,0.537983,0.567099,0.567099,0.528886,0.511764,0.511764,501592331039773.06,523975259257337.06,523975259257337.06,22.56,19260817.0,1000.0,adaptive,auto,0.522222,0.58805,0.58805
1.0,0.0001,0.001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts']",0.8049857274440886,0.512667,0.534475,0.534475,0.543183,0.530697,0.530697,609632433666195.9,626958679805094.2,626958679805094.2,10.82,19260817.0,1000.0,adaptive,auto,0.515193,0.571279,0.571279
1.0,0.0001,0.001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances']",0.8175406880045384,0.516582,0.537275,0.537275,0.540997,0.529099,0.529099,602290474436962.4,618950319094847.4,618950319094847.4,21.43,19260817.0,1000.0,adaptive,auto,0.520862,0.557652,0.557652
1.0,0.0001,0.001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.514488,0.536467,0.536467,0.542167,0.52956,0.52956,660558167396844.0,680119362326261.1,680119362326261.1,12.79,19260817.0,1000.0,adaptive,auto,0.520862,0.569182,0.569182
1.0,0.0001,0.001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts']",0.8421594803742163,0.51579,0.536044,0.536044,0.54144,0.529802,0.529802,688699741642657.1,713863782809007.2,713863782809007.2,18.71,19260817.0,1000.0,adaptive,auto,0.528345,0.54717,0.54717
1.0,0.0001,0.001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs']",0.8541358029977908,0.519039,0.537418,0.537418,0.53962,0.529017,0.529017,603376777923562.6,622650904588528.0,622650904588528.0,14.48,19260817.0,1000.0,adaptive,auto,0.520408,0.553459,0.553459
1.0,0.0001,0.001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds']",0.8659768297633487,0.547925,0.568901,0.568901,0.523165,0.510697,0.510697,489351411277976.2,518188720172894.3,518188720172894.3,29.86,19260817.0,1000.0,adaptive,auto,0.539683,0.581761,0.581761
1.0,0.0001,0.001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks']",0.8764627957636986,0.550782,0.569361,0.569361,0.521509,0.510425,0.510425,440564361046248.4,472877062899805.9,472877062899805.9,22.27,19260817.0,1000.0,adaptive,auto,0.542404,0.593291,0.593291
1.0,0.0001,0.001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.553799,0.57249,0.57249,0.519755,0.508567,0.508567,494480893278494.4,525813323083258.2,525813323083258.2,44.56,19260817.0,1000.0,adaptive,auto,0.535374,0.589099,0.589099
1.0,0.0001,0.001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals']",0.8934391461254398,0.55013,0.565651,0.565651,0.521887,0.512619,0.512619,579210857129754.0,617788222528662.1,617788222528662.1,28.5,19260817.0,1000.0,adaptive,auto,0.533107,0.555556,0.555556
1.0,0.0001,0.001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances']",0.9003977265227703,0.554608,0.573154,0.573154,0.519283,0.508172,0.508172,512487876616403.94,541985806887702.0,541985806887702.0,24.95,19260817.0,1000.0,adaptive,auto,0.534694,0.597484,0.597484
1.0,0.0001,0.001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50']",0.906940299335011,0.559248,0.561969,0.561969,0.516572,0.514787,0.514787,597936367096091.0,642999285883217.2,642999285883217.2,43.93,19260817.0,1000.0,adaptive,auto,0.554649,0.568134,0.568134
1.0,0.0001,0.001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s']",0.9130469708326392,0.556569,0.567572,0.567572,0.518139,0.511484,0.511484,510504577397229.94,544181964005294.8,544181964005294.8,22.56,19260817.0,1000.0,adaptive,auto,0.550113,0.550314,0.550314
