alpha,ensemble_n_estimators,ensemble_max_features,ensemble_max_samples,ensemble_weighted,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
0.0001,25.0,0.4,0.4,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.351713,0.380502,0.380502,0.626494,0.612203,0.612203,621894213450425.4,634346560865812.5,634346560865812.5,3.58,19260817.0,-1.0,0.533787,0.568134,0.568134
0.0001,25.0,0.4,0.4,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.439521,0.458722,0.458722,0.582523,0.57225,0.57225,789383577362689.4,819823711244877.5,819823711244877.5,135.29,19260817.0,-1.0,0.54966,0.584906,0.584906
0.0001,25.0,0.4,0.4,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.455102,0.481688,0.481688,0.574369,0.559978,0.559978,546982095958177.94,554216262829847.7,554216262829847.7,3.36,19260817.0,-1.0,0.51746,0.56499,0.56499
0.0001,25.0,0.4,0.4,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.480303,0.502284,0.502284,0.56093,0.548739,0.548739,737732943158720.6,761392173041614.6,761392173041614.6,137.27,19260817.0,-1.0,0.54195,0.578616,0.578616
0.0001,25.0,0.4,0.85,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.351222,0.380001,0.380001,0.626731,0.61245,0.61245,621907400014798.0,634375313143604.0,634375313143604.0,3.34,19260817.0,-1.0,0.533787,0.56499,0.56499
0.0001,25.0,0.4,0.85,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.439936,0.459059,0.459059,0.582307,0.572071,0.572071,786883590918083.9,817294915327128.6,817294915327128.6,33.02,19260817.0,-1.0,0.549887,0.584906,0.584906
0.0001,25.0,0.4,0.85,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.454573,0.481119,0.481119,0.574648,0.560285,0.560285,546313455195248.94,553569893641485.5,553569893641485.5,3.26,19260817.0,-1.0,0.51746,0.56499,0.56499
0.0001,25.0,0.4,0.85,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.480586,0.502509,0.502509,0.560777,0.548615,0.548615,736089174967095.4,759842819999508.5,759842819999508.5,32.85,19260817.0,-1.0,0.543537,0.578616,0.578616
0.0001,25.0,0.85,0.4,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.448332,0.475759,0.475759,0.577926,0.563171,0.563171,698982055622609.6,713950695612375.4,713950695612375.4,4.76,19260817.0,-1.0,0.533333,0.571279,0.571279
0.0001,25.0,0.85,0.4,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.501435,0.527938,0.527938,0.549407,0.53441,0.53441,730480658086305.0,747701899761847.9,747701899761847.9,594.4,19260817.0,-1.0,0.534694,0.572327,0.572327
0.0001,25.0,0.85,0.4,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.487188,0.514864,0.514864,0.557201,0.54176,0.54176,645890033159118.2,655821676011118.2,655821676011118.2,4.59,19260817.0,-1.0,0.511111,0.57652,0.57652
