alpha,ensemble_n_estimators,ensemble_max_features,ensemble_max_samples,ensemble_weighted,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
0.0001,25.0,0.85,0.4,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.506083,0.533647,0.533647,0.54684,0.531169,0.531169,714496949464743.9,728896113801972.4,728896113801972.4,596.54,19260817.0,-1.0,0.535147,0.571279,0.571279
0.0001,25.0,0.85,0.85,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.448111,0.47552,0.47552,0.578042,0.5633,0.5633,699331173394838.2,714341329699581.4,714341329699581.4,4.07,19260817.0,-1.0,0.534014,0.571279,0.571279
0.0001,25.0,0.85,0.85,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.50144,0.527864,0.527864,0.549404,0.534452,0.534452,730322111313589.4,747866938536663.9,747866938536663.9,128.45,19260817.0,-1.0,0.534694,0.572327,0.572327
0.0001,25.0,0.85,0.85,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.487041,0.514696,0.514696,0.557281,0.541854,0.541854,646704186752773.5,656714462078294.5,656714462078294.5,5.24,19260817.0,-1.0,0.511111,0.57652,0.57652
0.0001,25.0,0.85,0.85,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.50608,0.533572,0.533572,0.546841,0.531212,0.531212,714831768281813.5,729569945041978.2,729569945041978.2,128.59,19260817.0,-1.0,0.535147,0.571279,0.571279
0.0001,400.0,0.4,0.4,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.368964,0.394888,0.394888,0.618102,0.605052,0.605052,616154419996609.0,630567779942878.9,630567779942878.9,56.94,19260817.0,-1.0,0.538095,0.584906,0.584906
0.0001,400.0,0.4,0.4,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.402822,0.420896,0.420896,0.601292,0.591907,0.591907,813912856046197.8,845358135060439.6,845358135060439.6,1605.09,19260817.0,-1.0,0.55034,0.58805,0.58805
0.0001,400.0,0.4,0.4,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.462756,0.48803,0.48803,0.570321,0.556542,0.556542,542257597901822.6,550179032406746.3,550179032406746.3,54.13,19260817.0,-1.0,0.512472,0.57652,0.57652
0.0001,400.0,0.4,0.4,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.457967,0.47842,0.47842,0.572857,0.56174,0.56174,759701250225071.1,785693175236406.8,785693175236406.8,1613.17,19260817.0,-1.0,0.542857,0.587002,0.587002
0.0001,400.0,0.4,0.85,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.368921,0.394848,0.394848,0.618123,0.605073,0.605073,616062317794246.8,630469478034755.5,630469478034755.5,54.96,19260817.0,-1.0,0.538095,0.584906,0.584906
0.0001,400.0,0.4,0.85,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.402844,0.420884,0.420884,0.60128,0.591913,0.591913,813924141862013.6,845364573087432.8,845364573087432.8,419.84,19260817.0,-1.0,0.55102,0.58805,0.58805
0.0001,400.0,0.4,0.85,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.462723,0.487997,0.487997,0.570338,0.556559,0.556559,542136317133998.8,550051407677167.4,550051407677167.4,54.89,19260817.0,-1.0,0.512472,0.57652,0.57652
0.0001,400.0,0.4,0.85,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.458011,0.478412,0.478412,0.572833,0.561744,0.561744,759620042952132.0,785622705322896.8,785622705322896.8,401.75,19260817.0,-1.0,0.542857,0.587002,0.587002
0.0001,400.0,0.85,0.4,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.466681,0.494341,0.494341,0.568234,0.553101,0.553101,677713123375042.4,690633295298416.9,690633295298416.9,73.53,19260817.0,-1.0,0.526077,0.56499,0.56499
0.0001,400.0,0.85,0.4,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.502119,0.528374,0.528374,0.54903,0.534163,0.534163,730820975169292.2,748141264912102.8,748141264912102.8,9859.65,19260817.0,-1.0,0.531293,0.572327,0.572327
0.0001,400.0,0.85,0.4,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.492035,0.520105,0.520105,0.554562,0.538826,0.538826,633243106319113.5,641526909518978.0,641526909518978.0,73.94,19260817.0,-1.0,0.513605,0.575472,0.575472
0.0001,400.0,0.85,0.4,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.506138,0.533389,0.533389,0.54681,0.531316,0.531316,713855486185763.2,728602305666179.2,728602305666179.2,8413.17,19260817.0,-1.0,0.53288,0.571279,0.571279
0.0001,400.0,0.85,0.85,False,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.466695,0.494353,0.494353,0.568226,0.553094,0.553094,677670911623926.8,690589876730485.8,690589876730485.8,58.39,19260817.0,-1.0,0.526077,0.56499,0.56499
0.0001,400.0,0.85,0.85,False,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.502168,0.528379,0.528379,0.549003,0.53416,0.53416,730447392095784.2,747743696350740.6,747743696350740.6,1679.56,19260817.0,-1.0,0.531293,0.572327,0.572327
0.0001,400.0,0.85,0.85,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.492036,0.520102,0.520102,0.554561,0.538827,0.538827,633197601117985.8,641483590043912.5,641483590043912.5,61.11,19260817.0,-1.0,0.513605,0.575472,0.575472
0.0001,400.0,0.85,0.85,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.506169,0.533373,0.533373,0.546793,0.531325,0.531325,713534697514792.2,728247368996442.9,728247368996442.9,1732.11,19260817.0,-1.0,0.5322,0.571279,0.571279
100.0,25.0,0.4,0.4,False,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,158916973577.30005,158934764192.7479,158934764192.7479,2.51,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,25.0,0.4,0.4,False,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,158916973577.30005,158934764192.7479,158934764192.7479,12.58,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,25.0,0.4,0.4,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-2e-06,-2e-06,-2e-06,0.778097,0.777814,0.777814,4233977792054.239,4234451782144.9,4234451782144.9,2.11,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,25.0,0.4,0.4,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-2e-06,-2e-06,-2e-06,0.778097,0.777814,0.777814,4233977792054.239,4234451782144.9,4234451782144.9,11.18,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,25.0,0.4,0.85,False,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,1315170347304.0315,1315317579467.9128,1315317579467.9128,2.09,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,25.0,0.4,0.85,False,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,1315170347304.0315,1315317579467.9128,1315317579467.9128,10.52,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,25.0,0.4,0.85,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-6e-06,-6e-06,-6e-06,0.778099,0.777816,0.777816,7741772693501.011,7742639378146.303,7742639378146.303,3.63,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,25.0,0.4,0.85,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-6e-06,-6e-06,-6e-06,0.778099,0.777816,0.777816,7741772693501.011,7742639378146.303,7742639378146.303,10.49,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,25.0,0.85,0.4,False,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,158916973577.30005,158934764192.7479,158934764192.7479,3.61,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,25.0,0.85,0.4,False,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,158916973577.30005,158934764192.7479,158934764192.7479,14.72,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,25.0,0.85,0.4,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-2e-06,-2e-06,-2e-06,0.778097,0.777814,0.777814,4233977792054.239,4234451782144.9,4234451782144.9,3.64,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,25.0,0.85,0.4,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-2e-06,-2e-06,-2e-06,0.778097,0.777814,0.777814,4233977792054.239,4234451782144.9,4234451782144.9,15.37,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,25.0,0.85,0.85,False,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,1315170347304.0315,1315317579467.9128,1315317579467.9128,3.16,19260817.0,-1.0,0.235374,0.21174,0.21174
