n_estimators,max_depth,subsample,colsample_bytree,gamma,eta,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
25.0,3.0,0.4,0.85,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-2.1219699289913484e+47,-2.1235153017118074e+47,-2.1235153017118074e+47,3.584288122058671e+23,3.584288122058671e+23,3.584288122058671e+23,1.4019482091723562e+39,1.402105156041566e+39,1.402105156041566e+39,13.29,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.4,0.85,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.409227,-0.409403,-0.409403,0.923685,0.923406,0.923406,1950810688073398.0,1951028532804255.2,1951028532804255.2,3.68,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.4,0.85,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-0.40852,-0.408699,-0.408699,0.923453,0.923176,0.923176,1950822174357026.0,1951044610160631.2,1951044610160631.2,16.75,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.4,0.85,0.1,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-2.1199457906185542e+47,-2.1214896892143428e+47,-2.1214896892143428e+47,3.582578195352151e+23,3.582578195352151e+23,3.582578195352151e+23,1.4012793933287667e+39,1.4014362653246314e+39,1.4014362653246314e+39,3.08,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.4,0.85,0.1,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-2.1219699289913484e+47,-2.1235153017118074e+47,-2.1235153017118074e+47,3.584288122058671e+23,3.584288122058671e+23,3.584288122058671e+23,1.4019482091723562e+39,1.402105156041566e+39,1.402105156041566e+39,13.36,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.85,0.4,1e-08,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.409659,-0.409819,-0.409819,0.923826,0.923543,0.923543,1950810412874930.5,1951030564244543.2,1951030564244543.2,3.16,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.85,0.4,1e-08,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-0.409499,-0.409683,-0.409683,0.923774,0.923498,0.923498,1950803112578972.8,1951012593120572.8,1951012593120572.8,10.8,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.85,0.4,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-2.1240765525893592e+47,-2.125623459506225e+47,-2.125623459506225e+47,3.586066863767497e+23,3.586066863767497e+23,3.586066863767497e+23,1.4026439411192163e+39,1.4028009658750062e+39,1.4028009658750062e+39,1.58,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.85,0.4,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-2.1237026861054712e+47,-2.125249320745592e+47,-2.125249320745592e+47,3.585751251505611e+23,3.585751251505611e+23,3.585751251505611e+23,1.402520493441386e+39,1.4026775043773167e+39,1.4026775043773167e+39,7.36,19260817.0,0.235374,0.21174,0.21174
25.0,3.0,0.85,0.4,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.409659,-0.409819,-0.409819,0.923826,0.923543,0.923543,1950810412874930.5,1951030564244543.2,1951030564244543.2,2.84,19260817.0,0.235374,0.21174,0.21174
