n_hidden_layers,alpha,learning_rate_init,activation,hidden_layer_n_neurons,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,max_iter,learning_rate,batch_size,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
1.0,0.0001,0.001,logistic,30.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.492754,0.523145,0.523145,0.554169,0.537116,0.537116,678294302376824.8,682875726579796.9,682875726579796.9,22.45,19260817.0,1000.0,adaptive,auto,0.515646,0.571279,0.571279
1.0,0.0001,0.001,logistic,30.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals']",0.7765535537689908,0.503939,0.531936,0.531936,0.548026,0.532142,0.532142,609317100997553.9,619996846130225.8,619996846130225.8,25.53,19260817.0,1000.0,adaptive,auto,0.519728,0.578616,0.578616
1.0,0.0001,0.001,logistic,30.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances']",0.7919471007529546,0.538512,0.568828,0.568828,0.528583,0.51074,0.51074,450975681751015.3,472988705575897.5,472988705575897.5,37.66,19260817.0,1000.0,adaptive,auto,0.548526,0.610063,0.610063
1.0,0.0001,0.001,logistic,30.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts']",0.8049857274440886,0.546806,0.576154,0.576154,0.523812,0.506383,0.506383,424271111991803.1,449501921234612.1,449501921234612.1,49.07,19260817.0,1000.0,adaptive,auto,0.533107,0.573375,0.573375
1.0,0.0001,0.001,logistic,30.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances']",0.8175406880045384,0.542735,0.570156,0.570156,0.526159,0.509953,0.509953,513322779189678.1,535925728948516.5,535925728948516.5,49.34,19260817.0,1000.0,adaptive,auto,0.526304,0.572327,0.572327
1.0,0.0001,0.001,logistic,30.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.546499,0.570445,0.570445,0.52399,0.509782,0.509782,493166799094858.94,523506272525057.06,523506272525057.06,41.75,19260817.0,1000.0,adaptive,auto,0.526077,0.585954,0.585954
1.0,0.0001,0.001,logistic,30.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts']",0.8421594803742163,0.5499,0.570774,0.570774,0.522021,0.509587,0.509587,440584710411575.5,471693550167903.4,471693550167903.4,66.52,19260817.0,1000.0,adaptive,auto,0.542857,0.567086,0.567086
1.0,0.0001,0.001,logistic,30.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs']",0.8541358029977908,0.551681,0.568282,0.568282,0.520987,0.511064,0.511064,552589228626187.0,585392519038546.1,585392519038546.1,58.27,19260817.0,1000.0,adaptive,auto,0.556689,0.552411,0.552411
1.0,0.0001,0.001,logistic,30.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds']",0.8659768297633487,0.552273,0.565232,0.565232,0.520643,0.512866,0.512866,568892918664501.2,607640015613334.4,607640015613334.4,47.67,19260817.0,1000.0,adaptive,auto,0.546939,0.580713,0.580713
1.0,0.0001,0.001,logistic,30.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks']",0.8764627957636986,0.564357,0.565042,0.565042,0.513569,0.512978,0.512978,490573523385973.44,540517155800514.2,540517155800514.2,78.43,19260817.0,1000.0,adaptive,auto,0.546712,0.542977,0.542977
