n_estimators,max_depth,subsample,colsample_bytree,gamma,eta,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.10898,0.126624,0.126624,0.734475,0.726902,0.726902,1194459647542492.2,1197597995465656.8,1197597995465656.8,22.56,19260817.0,0.530839,0.571279,0.571279
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals']",0.7765535537689908,0.121957,0.139429,0.139429,0.729107,0.721554,0.721554,1192701669039321.0,1195116334675209.0,1195116334675209.0,20.54,19260817.0,0.547392,0.550314,0.550314
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances']",0.7919471007529546,0.147801,0.152374,0.152374,0.718296,0.716106,0.716106,1192793229190545.0,1199794581558763.8,1199794581558763.8,28.87,19260817.0,0.563492,0.560797,0.560797
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts']",0.8049857274440886,0.194436,0.184844,0.184844,0.698366,0.702256,0.702256,1195242725085716.5,1206154451006953.5,1206154451006953.5,33.7,19260817.0,0.571429,0.568134,0.568134
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances']",0.8175406880045384,0.128259,0.12462,0.12462,0.726486,0.727735,0.727735,1189250168066415.5,1198180870006945.8,1198180870006945.8,33.96,19260817.0,0.588209,0.574423,0.574423
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.189578,0.169396,0.169396,0.700469,0.708879,0.708879,1191076380658636.2,1204631791386683.5,1204631791386683.5,38.5,19260817.0,0.589342,0.556604,0.556604
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts']",0.8421594803742163,0.203573,0.175473,0.175473,0.694395,0.706281,0.706281,1191068897653073.0,1206499451622914.8,1206499451622914.8,42.58,19260817.0,0.608163,0.561845,0.561845
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs']",0.8541358029977908,0.21942,0.185832,0.185832,0.687452,0.70183,0.70183,1190949260326219.0,1209107968258393.0,1209107968258393.0,46.13,19260817.0,0.61678,0.551363,0.551363
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds']",0.8659768297633487,0.201534,0.170028,0.170028,0.695283,0.708609,0.708609,1189047742854020.5,1204978200262256.5,1204978200262256.5,45.86,19260817.0,0.61542,0.554507,0.554507
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks']",0.8764627957636986,0.218716,0.182877,0.182877,0.687761,0.703103,0.703103,1189519937883457.0,1208414361994693.0,1208414361994693.0,48.58,19260817.0,0.610204,0.552411,0.552411
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.225978,0.18436,0.18436,0.684557,0.702465,0.702465,1189264241612694.2,1208622590554889.2,1208622590554889.2,54.6,19260817.0,0.621315,0.566038,0.566038
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals']",0.8934391461254398,0.227098,0.18371,0.18371,0.684062,0.702744,0.702744,1189444413491019.0,1208544272591068.2,1208544272591068.2,58.42,19260817.0,0.610658,0.532495,0.532495
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances']",0.9003977265227703,0.232098,0.184532,0.184532,0.681846,0.70239,0.70239,1188904431837923.5,1208589420611651.8,1208589420611651.8,57.82,19260817.0,0.624036,0.538784,0.538784
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50']",0.906940299335011,0.23172,0.182197,0.182197,0.682014,0.703396,0.703396,1188976394302660.8,1208489297580873.8,1208489297580873.8,64.17,19260817.0,0.626984,0.555556,0.555556
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s']",0.9130469708326392,0.221405,0.17324,0.17324,0.686577,0.707237,0.707237,1187947425286956.5,1205997666993819.5,1205997666993819.5,64.36,19260817.0,0.629252,0.560797,0.560797
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.223755,0.174901,0.174901,0.68554,0.706526,0.706526,1188979989710161.0,1206131219543962.0,1206131219543962.0,65.53,19260817.0,0.623356,0.548218,0.548218
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists']",0.924898549042972,0.227902,0.176074,0.176074,0.683706,0.706024,0.706024,1188678918470907.8,1206009687336455.8,1206009687336455.8,71.26,19260817.0,0.635828,0.548218,0.548218
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions']",0.9306217431588558,0.230514,0.177406,0.177406,0.682549,0.705453,0.705453,1188979390130712.5,1206786280267865.2,1206786280267865.2,75.59,19260817.0,0.636508,0.533543,0.533543
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains']",0.9362167668092988,0.231572,0.176391,0.176391,0.682079,0.705888,0.705888,1188252557144602.5,1206681489352659.0,1206681489352659.0,78.08,19260817.0,0.639683,0.559748,0.559748
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s']",0.9417404842109904,0.220619,0.168324,0.168324,0.686923,0.709337,0.709337,1187834271930439.5,1204061997701832.0,1204061997701832.0,82.32,19260817.0,0.645351,0.570231,0.570231
50.0,12.0,0.7,0.7,0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.250142,0.191888,0.191888,0.673787,0.699215,0.699215,1188821582489607.8,1210537129671974.2,1210537129671974.2,84.36,19260817.0,0.629705,0.551363,0.551363
