n_estimators,max_depth,max_samples,max_features,ccp_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,bootstrap,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
25.0,192.0,0.85,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.284573,0.292713,0.292713,0.658137,0.654144,0.654144,213294495868113.44,214372213418074.4,214372213418074.4,15.55,19260817.0,-1.0,True,0.505215,0.557652,0.557652
400.0,3.0,0.4,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.154085,0.15855,0.15855,0.715643,0.713492,0.713492,86444081930333.14,86480610068102.42,86480610068102.44,16.22,19260817.0,-1.0,True,0.505215,0.557652,0.557652
400.0,192.0,0.85,0.85,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.601753,0.50901,0.50901,0.491031,0.545019,0.545019,395850150109777.8,453059300989523.6,453059300989523.6,42.24,19260817.0,-1.0,True,0.628345,0.554507,0.554507
25.0,192.0,0.85,0.4,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.94681,0.546773,0.546773,0.179453,0.52364,0.52364,137680425121077.23,506056746629385.2,506056746629385.2,10.59,19260817.0,-1.0,True,0.819274,0.58805,0.58805
400.0,24.0,0.85,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.294457,0.304247,0.304247,0.653575,0.648788,0.648788,156987284173204.34,157244399221910.47,157244399221910.47,607.79,19260817.0,-1.0,True,0.505215,0.557652,0.557652
400.0,3.0,0.4,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.148411,0.153059,0.153059,0.71804,0.715817,0.715817,79587532685475.14,79732163475972.16,79732163475972.16,9.55,19260817.0,-1.0,True,0.505215,0.557652,0.557652
25.0,192.0,0.85,0.85,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.952124,0.525413,0.525413,0.170252,0.535838,0.535838,124818622199087.3,518296165996509.06,518296165996509.06,16.23,19260817.0,-1.0,True,0.820635,0.57652,0.57652
400.0,3.0,0.4,0.85,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.493044,0.520609,0.520609,0.554011,0.538543,0.538543,314856062075210.25,320317441689935.44,320317441689935.44,40.33,19260817.0,-1.0,True,0.515646,0.581761,0.581761
25.0,192.0,0.4,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.254062,0.261056,0.261056,0.672024,0.668622,0.668622,165512544453814.94,165229821746290.3,165229821746290.3,37.06,19260817.0,-1.0,True,0.505215,0.557652,0.557652
25.0,192.0,0.4,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.194505,0.199248,0.199248,0.698336,0.696024,0.696024,166307038497533.2,165832107649942.97,165832107649942.97,29.05,19260817.0,-1.0,True,0.505215,0.557652,0.557652
25.0,192.0,0.85,0.85,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.955648,0.532663,0.532663,0.163867,0.531729,0.531729,116930953279335.05,519071940757252.0,519071940757252.0,22.04,19260817.0,-1.0,True,0.819048,0.597484,0.597484
25.0,192.0,0.4,0.4,1e-08,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.870472,0.550549,0.550549,0.280037,0.521455,0.521455,226552704550815.2,506598391169543.3,506598391169543.3,8.09,19260817.0,-1.0,True,0.764626,0.612159,0.612159
