alpha,gb_n_estimators,gb_max_features,gb_max_samples,gb_learning_rate,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
0.0001,100.0,0.85,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.507495,0.53663,0.53663,0.546058,0.529467,0.529467,699151576375258.9,710519036791714.5,710519036791714.5,1741.72,19260817.0,0.52381,0.563941,0.563941
0.0001,25.0,0.4,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.424701,0.447408,0.447408,0.590174,0.578199,0.578199,888078297001228.9,923682333207034.4,923682333207034.4,89.33,19260817.0,0.549206,0.559748,0.559748
10.0,100.0,0.4,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.505118,0.533305,0.533305,0.547374,0.531364,0.531364,715953025773830.6,730604698521498.5,730604698521498.5,1239.17,19260817.0,0.525624,0.560797,0.560797
0.0001,100.0,0.85,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.507496,0.536818,0.536818,0.546057,0.52936,0.52936,699559513087402.8,710859375942592.6,710859375942592.6,1738.63,19260817.0,0.522902,0.563941,0.563941
0.0001,100.0,0.4,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.506997,0.534909,0.534909,0.546334,0.53045,0.53045,717577867012277.4,730515453967038.5,730515453967038.5,1501.29,19260817.0,0.530612,0.575472,0.575472
10.0,100.0,0.4,0.4,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.497625,0.527352,0.527352,0.551502,0.534742,0.534742,639470966248322.6,644886585607337.6,644886585607337.6,879.72,19260817.0,0.507937,0.572327,0.572327
0.0001,100.0,0.85,0.85,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.505881,0.532157,0.532157,0.546952,0.532017,0.532017,694424039728886.9,706864129217835.6,706864129217835.6,1292.29,19260817.0,0.522449,0.560797,0.560797
10.0,25.0,0.4,0.4,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.507827,0.536505,0.536505,0.545873,0.529539,0.529539,704846270639515.0,715525573745335.2,715525573745335.2,113.71,19260817.0,0.52517,0.563941,0.563941
10.0,25.0,0.85,0.85,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.497628,0.527293,0.527293,0.5515,0.534775,0.534775,636065036740899.5,641370834780267.4,641370834780267.4,87.35,19260817.0,0.507937,0.572327,0.572327
10.0,25.0,0.85,0.4,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.506541,0.535357,0.535357,0.546587,0.530194,0.530194,697000781918027.9,710193074151917.0,710193074151917.0,99.91,19260817.0,0.521315,0.560797,0.560797
0.0001,100.0,0.4,0.4,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.505872,0.532168,0.532168,0.546957,0.532011,0.532011,699250376445139.2,711976063311290.2,711976063311290.2,1252.44,19260817.0,0.523129,0.560797,0.560797
0.0001,25.0,0.85,0.4,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.506541,0.535357,0.535357,0.546587,0.530194,0.530194,697000781918027.9,710193074151917.0,710193074151917.0,101.53,19260817.0,0.521315,0.560797,0.560797
10.0,100.0,0.4,0.85,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.506565,0.535464,0.535464,0.546573,0.530133,0.530133,695560625542973.6,708684037456743.9,708684037456743.9,1280.3,19260817.0,0.52381,0.560797,0.560797
0.0001,100.0,0.85,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.50706,0.536188,0.536188,0.546299,0.52972,0.52972,696651288764853.1,709659706471204.2,709659706471204.2,1508.34,19260817.0,0.526531,0.563941,0.563941
10.0,100.0,0.85,0.85,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.506564,0.535364,0.535364,0.546573,0.53019,0.53019,694312335350988.9,707520741188509.2,707520741188509.2,1398.4,19260817.0,0.52381,0.560797,0.560797
0.0001,25.0,0.85,0.85,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.507058,0.536034,0.536034,0.5463,0.529808,0.529808,697082069732769.5,710180926956671.0,710180926956671.0,126.31,19260817.0,0.526757,0.568134,0.568134
10.0,100.0,0.4,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.505077,0.533263,0.533263,0.547397,0.531387,0.531387,717138713513515.0,731925631481532.0,731925631481532.0,1328.65,19260817.0,0.524943,0.560797,0.560797
10.0,100.0,0.4,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.49755,0.527347,0.527347,0.551543,0.534745,0.534745,628290076913241.5,632892384682439.9,632892384682439.9,909.18,19260817.0,0.508617,0.572327,0.572327
0.0001,100.0,0.4,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.497558,0.527354,0.527354,0.551539,0.534741,0.534741,628542788992129.8,633165935108698.0,633165935108698.0,901.82,19260817.0,0.508617,0.572327,0.572327
0.0001,25.0,0.85,0.85,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.507497,0.536693,0.536693,0.546057,0.529431,0.529431,699599028935207.5,711015786402446.9,711015786402446.9,150.8,19260817.0,0.524943,0.563941,0.563941
0.0001,100.0,0.85,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.507307,0.536628,0.536628,0.546162,0.529469,0.529469,698220531047094.9,710617233086155.1,710617233086155.1,1645.05,19260817.0,0.524717,0.560797,0.560797
10.0,25.0,0.4,0.4,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.506483,0.534193,0.534193,0.546619,0.530858,0.530858,695171555059843.1,709198882694692.9,709198882694692.9,96.93,19260817.0,0.519274,0.571279,0.571279
0.0001,25.0,0.4,0.4,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.505843,0.532051,0.532051,0.546973,0.532077,0.532077,696276507825694.9,708834128478317.8,708834128478317.8,87.26,19260817.0,0.523129,0.560797,0.560797
0.0001,25.0,0.4,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.405499,0.426811,0.426811,0.599943,0.588876,0.588876,914949167970699.4,956415410738915.2,956415410738915.2,90.38,19260817.0,0.558277,0.585954,0.585954
10.0,25.0,0.85,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.504751,0.532234,0.532234,0.547577,0.531973,0.531973,725748437997951.4,741317851424696.4,741317851424696.4,155.36,19260817.0,0.531293,0.568134,0.568134
0.0001,100.0,0.85,0.4,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.507274,0.536981,0.536981,0.54618,0.529267,0.529267,702444679370557.6,714876799910656.8,714876799910656.8,1606.41,19260817.0,0.52449,0.563941,0.563941
0.0001,25.0,0.85,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.504751,0.532234,0.532234,0.547577,0.531973,0.531973,725748437997951.4,741317851424696.4,741317851424696.4,159.93,19260817.0,0.531293,0.568134,0.568134
0.0001,100.0,0.4,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.504794,0.532359,0.532359,0.547553,0.531902,0.531902,712803029241044.8,729526773537662.4,729526773537662.4,1256.29,19260817.0,0.521542,0.57652,0.57652
10.0,100.0,0.85,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.507495,0.53663,0.53663,0.546058,0.529467,0.529467,699151576375258.9,710519036791714.5,710519036791714.5,1777.3,19260817.0,0.52381,0.563941,0.563941
10.0,25.0,0.85,0.4,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.507453,0.536426,0.536426,0.546081,0.529584,0.529584,702866932998597.8,714664026398422.4,714664026398422.4,135.34,19260817.0,0.526304,0.560797,0.560797
10.0,100.0,0.4,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.504794,0.532359,0.532359,0.547553,0.531902,0.531902,712803029241044.8,729526773537662.4,729526773537662.4,1243.26,19260817.0,0.521542,0.57652,0.57652
10.0,100.0,0.85,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.506913,0.53631,0.53631,0.54638,0.52965,0.52965,695947688717387.6,708153611320238.5,708153611320238.5,1491.58,19260817.0,0.526077,0.561845,0.561845
0.0001,100.0,0.4,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.504821,0.53235,0.53235,0.547538,0.531907,0.531907,711481792721798.8,728056373802608.9,728056373802608.9,1243.3,19260817.0,0.521542,0.57652,0.57652
10.0,100.0,0.4,0.85,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.507306,0.53659,0.53659,0.546162,0.52949,0.52949,697988453191944.6,710473839612737.6,710473839612737.6,1369.41,19260817.0,0.52517,0.560797,0.560797
0.0001,25.0,0.4,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.424229,0.447053,0.447053,0.590416,0.578385,0.578385,890080822541975.1,925784960969940.6,925784960969940.6,96.51,19260817.0,0.550567,0.559748,0.559748
0.0001,25.0,0.4,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.448978,0.469966,0.469966,0.577588,0.566275,0.566275,843852877670655.1,877309959656637.0,877309959656637.0,100.85,19260817.0,0.548299,0.587002,0.587002
10.0,25.0,0.85,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.507283,0.536155,0.536155,0.546175,0.529738,0.529738,696226837176423.6,708970439548182.2,708970439548182.2,123.05,19260817.0,0.523583,0.560797,0.560797
10.0,25.0,0.85,0.85,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.5079,0.53695,0.53695,0.545833,0.529284,0.529284,704473098130077.0,715636785084345.9,715636785084345.9,157.45,19260817.0,0.526304,0.563941,0.563941
0.0001,100.0,0.85,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.506912,0.53627,0.53627,0.546381,0.529673,0.529673,696194475502990.5,708379181205958.8,708379181205958.8,1442.12,19260817.0,0.526077,0.561845,0.561845
0.0001,25.0,0.85,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.50706,0.536036,0.536036,0.546299,0.529807,0.529807,696083917417532.8,709189543087319.8,709189543087319.8,124.71,19260817.0,0.52517,0.563941,0.563941
10.0,25.0,0.85,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.504802,0.532108,0.532108,0.547548,0.532044,0.532044,724958702320150.4,740488552710680.6,740488552710680.6,142.54,19260817.0,0.531519,0.568134,0.568134
0.0001,100.0,0.4,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.505847,0.531886,0.531886,0.546971,0.532171,0.532171,692973346245055.8,705922271718217.5,705922271718217.5,1234.58,19260817.0,0.522449,0.560797,0.560797
10.0,25.0,0.4,0.85,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.507044,0.535854,0.535854,0.546308,0.52991,0.52991,696129879501986.1,709348369365137.5,709348369365137.5,101.34,19260817.0,0.528118,0.563941,0.563941
10.0,100.0,0.4,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.506997,0.534909,0.534909,0.546334,0.53045,0.53045,717577867012277.4,730515453967038.5,730515453967038.5,1499.56,19260817.0,0.530612,0.575472,0.575472
0.0001,25.0,0.85,0.4,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.50688,0.536223,0.536223,0.546399,0.5297,0.5297,698887797425377.2,711452522317611.2,711452522317611.2,103.99,19260817.0,0.524943,0.563941,0.563941
0.0001,25.0,0.85,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.50729,0.536307,0.536307,0.546171,0.529652,0.529652,696555007830677.4,709322710556823.5,709322710556823.5,135.28,19260817.0,0.52449,0.560797,0.560797
