n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
50.0,12.0,0.7,0.7,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.534414,0.565994,0.565994,0.530925,0.512417,0.512417,428294642229600.75,435362053523941.94,435362053523941.94,0.9,19260817.0,-1.0,0.518821,0.577568,0.577568
50.0,12.0,0.7,0.7,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals']",0.7765535537689908,0.555279,0.574152,0.574152,0.518892,0.507577,0.507577,429872603610183.4,453437594933079.1,453437594933079.1,2.83,19260817.0,-1.0,0.539683,0.591195,0.591195
50.0,12.0,0.7,0.7,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances']",0.7919471007529546,0.565738,0.571511,0.571511,0.512754,0.509149,0.509149,434811189897501.44,477190524617850.44,477190524617850.44,1.09,19260817.0,-1.0,0.535601,0.581761,0.581761
50.0,12.0,0.7,0.7,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts']",0.8049857274440886,0.570583,0.575722,0.575722,0.509886,0.506641,0.506641,438388695762576.2,484028184129255.94,484028184129255.94,1.16,19260817.0,-1.0,0.534014,0.58805,0.58805
50.0,12.0,0.7,0.7,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances']",0.8175406880045384,0.57639,0.57693,0.57693,0.506426,0.505919,0.505919,406495906110387.3,449063559337532.5,449063559337532.5,1.31,19260817.0,-1.0,0.529705,0.568134,0.568134
50.0,12.0,0.7,0.7,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.579804,0.575171,0.575171,0.504382,0.50697,0.50697,430102728669741.44,481861184443299.75,481861184443299.75,1.33,19260817.0,-1.0,0.540363,0.570231,0.570231
50.0,12.0,0.7,0.7,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts']",0.8421594803742163,0.586998,0.57095,0.57095,0.500045,0.509482,0.509482,405287595664240.56,463251899525969.1,463251899525969.1,1.62,19260817.0,-1.0,0.533107,0.560797,0.560797
50.0,12.0,0.7,0.7,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs']",0.8541358029977908,0.587594,0.573359,0.573359,0.499684,0.50805,0.50805,427769003455107.1,487366663497964.3,487366663497964.3,1.7,19260817.0,-1.0,0.544898,0.573375,0.573375
50.0,12.0,0.7,0.7,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds']",0.8659768297633487,0.59178,0.568857,0.568857,0.497142,0.510723,0.510723,413772706966761.3,479807769780570.56,479807769780570.56,1.75,19260817.0,-1.0,0.541043,0.587002,0.587002
50.0,12.0,0.7,0.7,0.1,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks']",0.8764627957636986,0.595362,0.571353,0.571353,0.494956,0.509243,0.509243,403937049958064.56,468623783560360.06,468623783560360.06,1.78,19260817.0,-1.0,0.533107,0.580713,0.580713
