n_hidden_layers,lambda_lasso,learning_rate,activation,dropout_prob,num_epochs,epoch_batch_size,batch_normalisation,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,verbose,loss_function,batch_size,gpu,gpu_id,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
5.0,1e-06,1.0,tanh,0.1,1000.0,128.0,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,-0.058778,-0.056889,-0.056889,0.800637,0.799632,0.799632,902238378171151.8,901626380079344.0,901626380079344.0,63.97,19260817.0,False,MSE,128.0,False,0.0,0.004082,0.005241,0.005241
1.0,0.1,1.0,relu,0.1,100.0,128.0,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.380419,0.405588,0.405588,0.612466,0.599679,0.599679,535959809293306.9,543591902190639.2,543591902190639.2,6.63,19260817.0,False,MSE,128.0,False,0.0,0.516327,0.551363,0.551363
5.0,0.1,1.0,relu,0.5,100.0,8192.0,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,-0.001012,-0.000932,-0.000932,0.77849,0.778176,0.778176,100848493811331.48,100841484435277.84,100841484435277.84,205.28,19260817.0,False,MSE,128.0,False,0.0,0.235374,0.21174,0.21174
1.0,0.1,1.0,relu,0.5,100.0,8192.0,False,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.367087,0.378391,0.378391,0.619021,0.613245,0.613245,782401262131774.2,798917235446634.8,798917235446634.8,133.51,19260817.0,False,MSE,128.0,False,0.0,0.478912,0.528302,0.528302
1.0,1e-06,0.0001,relu,0.1,1000.0,128.0,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.464744,0.484441,0.484441,0.569264,0.558489,0.558489,820729202396990.1,850776894452934.6,850776894452934.6,51.18,19260817.0,False,MSE,128.0,False,0.0,0.537415,0.583857,0.583857
5.0,0.1,0.0001,tanh,0.5,1000.0,8192.0,False,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,143610421719.5669,143626498779.99417,143626498779.99417,1286.7,19260817.0,False,MSE,128.0,False,0.0,0.235374,0.21174,0.21174
1.0,0.1,1.0,tanh,0.1,1000.0,128.0,False,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.403121,0.419838,0.419838,0.601141,0.592447,0.592447,730095309931546.1,734009072496077.0,734009072496077.0,53.02,19260817.0,False,MSE,128.0,False,0.0,0.50771,0.577568,0.577568
5.0,1e-06,0.0001,tanh,0.1,100.0,128.0,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,-0.175994,-0.175283,-0.175283,0.843793,0.843231,0.843231,1105955824312173.6,1106839149087618.8,1106839149087618.8,6.66,19260817.0,False,MSE,128.0,False,0.0,0.004762,0.0,0.0
5.0,1e-06,0.0001,tanh,0.5,1000.0,8192.0,False,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.442069,0.460961,0.460961,0.581197,0.571065,0.571065,492908929330461.44,495525230112645.25,495525230112645.25,1391.27,19260817.0,False,MSE,128.0,False,0.0,0.514512,0.559748,0.559748
1.0,0.1,0.0001,tanh,0.5,1000.0,128.0,True,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.298794,0.307262,0.307262,0.651563,0.647381,0.647381,384501799818870.7,385371133906889.5,385371133906889.5,52.6,19260817.0,False,MSE,128.0,False,0.0,0.504535,0.539832,0.539832
