n_hidden_layers,alpha,learning_rate_init,activation,hidden_layer_n_neurons,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,max_iter,learning_rate,batch_size,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
5.0,0.1,0.0001,logistic,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,-2.9e-05,-2.9e-05,-2.9e-05,0.778108,0.777824,0.777824,16510562065823.742,16512410408728.408,16512410408728.408,22.94,19260817.0,1000.0,adaptive,auto,0.235374,0.21174,0.21174
1.0,1e-08,0.0001,relu,60.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.605742,0.543832,0.543832,0.488566,0.525337,0.525337,516408361540363.25,594390715715661.0,594390715715661.0,178.74,19260817.0,1000.0,adaptive,auto,0.570748,0.581761,0.581761
5.0,1e-08,0.0001,relu,60.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.741672,0.427121,0.427121,0.395475,0.588717,0.588717,302419020299526.2,504156506942640.5,504156506942640.5,2072.76,19260817.0,1000.0,adaptive,auto,0.678231,0.554507,0.554507
1.0,0.1,0.0001,relu,60.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.588788,0.566239,0.566239,0.498961,0.512272,0.512272,488500987553684.1,542654771275637.06,542654771275637.06,120.71,19260817.0,1000.0,adaptive,auto,0.556689,0.57652,0.57652
5.0,1e-08,0.0001,logistic,60.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.599941,0.54484,0.54484,0.492148,0.524756,0.524756,540044650468356.7,621196156882194.5,621196156882194.5,1179.57,19260817.0,1000.0,adaptive,auto,0.570522,0.512579,0.512579
1.0,1e-08,0.1,logistic,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.527821,0.543248,0.543248,0.534671,0.525673,0.525673,385644730299327.3,426615155299748.0,426615155299748.0,31.02,19260817.0,1000.0,adaptive,auto,0.54059,0.574423,0.574423
1.0,1e-08,0.0001,relu,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.522883,0.559189,0.559189,0.537459,0.516418,0.516418,458977147654028.5,468290834320916.8,468290834320916.8,15.37,19260817.0,1000.0,adaptive,auto,0.526077,0.582809,0.582809
1.0,0.1,0.1,relu,60.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.506687,0.532883,0.532883,0.546505,0.531604,0.531604,308874858164192.75,322217486533874.8,322217486533874.8,37.77,19260817.0,1000.0,adaptive,auto,0.530839,0.541929,0.541929
5.0,1e-08,0.0001,logistic,60.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.542932,0.57178,0.57178,0.526046,0.50899,0.50899,472295617505727.6,496265422980278.3,496265422980278.3,194.07,19260817.0,1000.0,adaptive,auto,0.529932,0.59434,0.59434
5.0,1e-08,0.0001,relu,60.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.785839,0.420386,0.420386,0.360084,0.592168,0.592168,253239634087207.28,480332122040192.7,480332122040192.7,1498.06,19260817.0,1000.0,adaptive,auto,0.702494,0.560797,0.560797
