n_hidden_layers,alpha,learning_rate_init,activation,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,max_iter,learning_rate,batch_size,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
5.0,0.1,0.0001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,-2.5e-05,-2.5e-05,-2.5e-05,0.778106,0.777823,0.777823,15222231567886.465,15223935683324.78,15223935683324.78,28.39,19260817.0,1000.0,adaptive,auto,0.235374,0.21174,0.21174
1.0,0.1,0.1,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.521614,0.554498,0.554498,0.538174,0.519159,0.519159,534473526083381.8,565886044155242.0,565886044155242.0,18.03,19260817.0,1000.0,adaptive,auto,0.542404,0.566038,0.566038
1.0,1e-08,0.1,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.525119,0.543273,0.543273,0.536199,0.525658,0.525658,519060930280470.3,557591754818964.8,557591754818964.8,33.02,19260817.0,1000.0,adaptive,auto,0.531519,0.557652,0.557652
5.0,1e-08,0.0001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.587573,0.542528,0.542528,0.499697,0.526087,0.526087,560946982146398.5,624035200278254.9,624035200278254.9,341.5,19260817.0,1000.0,adaptive,auto,0.550113,0.569182,0.569182
1.0,0.1,0.0001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.506892,0.528861,0.528861,0.546392,0.533887,0.533887,625743604604338.8,643105554336987.9,643105554336987.9,21.4,19260817.0,1000.0,adaptive,auto,0.521769,0.571279,0.571279
5.0,0.1,0.1,relu,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.003685,-0.003687,-0.003687,0.779528,0.779246,0.779246,184743291272501.2,184763973121504.56,184763973121504.56,19.55,19260817.0,1000.0,adaptive,auto,0.235374,0.21174,0.21174
5.0,1e-08,0.1,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,-0.000119,-0.000119,-0.000119,0.778142,0.777859,0.777859,33148316148166.152,33152027073009.87,33152027073009.87,36.33,19260817.0,1000.0,adaptive,auto,0.235374,0.21174,0.21174
5.0,1e-08,0.1,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.120841,0.135116,0.135116,0.72957,0.72336,0.72336,70303391882091.62,72891800913584.36,72891800913584.36,106.33,19260817.0,1000.0,adaptive,auto,0.235374,0.21174,0.21174
1.0,0.1,0.0001,relu,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.55125,0.578539,0.578539,0.521237,0.504956,0.504956,450241482542039.4,477093663359668.9,477093663359668.9,42.4,19260817.0,1000.0,adaptive,auto,0.548073,0.575472,0.575472
5.0,0.1,0.0001,relu,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.65637,0.520466,0.520466,0.45612,0.538623,0.538623,383348858254120.0,500150560067870.6,500150560067870.6,1010.25,19260817.0,1000.0,adaptive,auto,0.606349,0.568134,0.568134
