epsilon,alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,max_iter,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
10000.0,100.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.507062,0.536119,0.536119,0.546298,0.529759,0.529759,696345290489848.9,709427913680672.8,709427913680672.8,4.87,1000.0,0.526757,0.563941,0.563941
1.0,100.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.466497,0.488392,0.488392,0.568331,0.556345,0.556345,360177670144804.6,358356060072334.75,358356060072334.75,15.96,1000.0,0.505215,0.567086,0.567086
10000.0,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.507309,0.536539,0.536539,0.546161,0.52952,0.52952,697845728257684.0,710300894336225.6,710300894336225.6,5.31,1000.0,0.52517,0.560797,0.560797
1.0,100.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.462656,0.484127,0.484127,0.570374,0.558659,0.558659,352126731993198.4,350345840631131.06,350345840631131.06,11.57,1000.0,0.496825,0.554507,0.554507
1.0,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.466473,0.488364,0.488364,0.568344,0.55636,0.55636,360124326692996.5,358302987159327.9,358302987159327.9,14.77,1000.0,0.49932,0.556604,0.556604
10000.0,100.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.497629,0.527313,0.527313,0.5515,0.534764,0.534764,635926849264883.5,641207211954482.4,641207211954482.4,0.6,1000.0,0.507937,0.572327,0.572327
1.0,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.459146,0.480254,0.480254,0.572233,0.560752,0.560752,345267214535448.9,343521015304820.7,343521015304820.7,19.7,1000.0,0.495465,0.582809,0.582809
10000.0,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.507499,0.536768,0.536768,0.546056,0.529389,0.529389,699085906020715.1,710457893799325.9,710457893799325.9,6.04,1000.0,0.523583,0.563941,0.563941
1.0,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.472689,0.495343,0.495343,0.565024,0.552552,0.552552,374764932805224.6,372869547747081.75,372869547747081.75,5.19,1000.0,0.504535,0.574423,0.574423
1.0,100.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.462538,0.483997,0.483997,0.570436,0.558729,0.558729,351888647523815.06,350108959840430.56,350108959840430.56,21.65,1000.0,0.505669,0.552411,0.552411
