n_estimators,max_depth,max_samples,max_features,ccp_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,bootstrap,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.494053,0.522871,0.522871,0.55346,0.537271,0.537271,364434490355722.6,368277873065667.75,368277873065667.75,7.6,19260817.0,-1.0,True,0.514059,0.582809,0.582809
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals']",0.7765535537689908,0.484761,0.51206,0.51206,0.558519,0.543324,0.543324,369949378725530.3,378636893784525.4,378636893784525.4,6.46,19260817.0,-1.0,True,0.522902,0.580713,0.580713
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances']",0.7919471007529546,0.492656,0.5202,0.5202,0.554223,0.538772,0.538772,358825690987677.5,363105257496534.06,363105257496534.06,7.53,19260817.0,-1.0,True,0.516553,0.571279,0.571279
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts']",0.8049857274440886,0.494386,0.521726,0.521726,0.553277,0.537915,0.537915,355650801480764.8,361316748927945.2,361316748927945.2,8.56,19260817.0,-1.0,True,0.52585,0.572327,0.572327
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances']",0.8175406880045384,0.488633,0.514914,0.514914,0.556416,0.541732,0.541732,345897704315766.3,354120858871932.5,354120858871932.5,8.0,19260817.0,-1.0,True,0.516553,0.57652,0.57652
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.48727,0.51468,0.51468,0.557157,0.541863,0.541863,349189275583817.8,354265792126107.06,354265792126107.06,10.21,19260817.0,-1.0,True,0.512018,0.573375,0.573375
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts']",0.8421594803742163,0.491277,0.518184,0.518184,0.554976,0.539903,0.539903,364811259495136.6,368307095748722.5,368307095748722.44,12.81,19260817.0,-1.0,True,0.504535,0.574423,0.574423
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs']",0.8541358029977908,0.498053,0.526718,0.526718,0.551267,0.5351,0.5351,360435836807296.94,364649086900037.8,364649086900037.8,13.16,19260817.0,-1.0,True,0.512698,0.573375,0.573375
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds']",0.8659768297633487,0.495125,0.520826,0.520826,0.552873,0.538421,0.538421,349943155628744.4,357581753735871.5,357581753735871.5,13.79,19260817.0,-1.0,True,0.51542,0.57652,0.57652
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks']",0.8764627957636986,0.490091,0.517643,0.517643,0.555622,0.540206,0.540206,351177512186692.44,357133485659637.8,357133485659637.75,15.84,19260817.0,-1.0,True,0.513605,0.57652,0.57652
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.485988,0.511093,0.511093,0.557853,0.543862,0.543862,382686549035699.94,389699282173532.94,389699282173532.94,16.76,19260817.0,-1.0,True,0.513152,0.570231,0.570231
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals']",0.8934391461254398,0.487863,0.514117,0.514117,0.556835,0.542177,0.542177,361244649948494.2,365877715296878.1,365877715296878.1,17.41,19260817.0,-1.0,True,0.519501,0.579665,0.579665
