C,epsilon,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
100.0,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.455205,0.484382,0.484382,0.574314,0.558521,0.558521,1026272300381693.5,1058182434867913.6,1058182434867913.6,1.11,19260817.0,0.528118,0.5587,0.5587
1.0,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains']",0.9362167668092989,0.395266,0.395636,0.395636,0.605084,0.604678,0.604678,859630979354287.9,881549079813632.1,881549079813632.1,0.63,19260817.0,0.484807,0.5,0.5
0.01,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains']",0.9362167668092989,0.482735,0.507271,0.507271,0.559615,0.545983,0.545983,764104092319170.2,781038234761739.8,781038234761739.8,0.66,19260817.0,0.517007,0.541929,0.541929
10.0,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains']",0.9362167668092989,0.395266,0.395636,0.395636,0.605084,0.604678,0.604678,859630979354287.9,881549079813632.2,881549079813632.2,0.67,19260817.0,0.484807,0.5,0.5
1.0,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains']",0.9362167668092989,0.395048,0.395708,0.395708,0.605193,0.604642,0.604642,942114323533674.6,968096316529257.6,968096316529257.6,0.67,19260817.0,0.5,0.512579,0.512579
1.0,0.5,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains']",0.9362167668092989,0.257318,0.255903,0.255903,0.670556,0.67095,0.67095,924573147612665.2,932192579003168.1,932192579003168.1,0.62,19260817.0,0.439909,0.419287,0.419287
1.0,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions']",0.9306217431588558,0.377994,0.378883,0.378883,0.613664,0.613002,0.613002,853518753518431.4,879796611433466.0,879796611433466.0,0.66,19260817.0,0.471202,0.490566,0.490566
1.0,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s']",0.9417404842109905,0.412671,0.415536,0.415536,0.596313,0.59464,0.59464,838535803831887.8,857517617152469.2,857517617152469.2,0.83,19260817.0,0.501134,0.489518,0.489518
0.0001,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains']",0.9362167668092989,0.490934,0.51752,0.51752,0.555163,0.540275,0.540275,520786974623433.06,526476250370800.7,526476250370800.7,0.62,19260817.0,0.506349,0.549266,0.549266
0.01,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains']",0.9362167668092989,0.466839,0.488203,0.488203,0.568149,0.556447,0.556447,766186057137457.8,783686618648356.0,783686618648356.0,0.66,19260817.0,0.514512,0.531447,0.531447
