n_estimators,max_depth,max_samples,max_features,ccp_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.484618,0.512848,0.512848,0.558596,0.542884,0.542884,321575007384931.94,331175923411091.8,331175923411091.8,11.71,19260817.0,-1.0,0.515873,0.595388,0.595388
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals']",0.7765535537689908,0.475866,0.503888,0.503888,0.563319,0.547855,0.547855,315018169385869.5,329013681911659.6,329013681911659.6,10.61,19260817.0,-1.0,0.537188,0.592243,0.592243
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances']",0.7919471007529546,0.483488,0.511805,0.511805,0.559208,0.543465,0.543465,306476982663577.6,317530959685801.25,317530959685801.25,14.42,19260817.0,-1.0,0.524036,0.602725,0.602725
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts']",0.8049857274440886,0.485302,0.513401,0.513401,0.558225,0.542576,0.542576,307689027359758.1,315998754061809.6,315998754061809.6,18.22,19260817.0,-1.0,0.510204,0.571279,0.571279
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances']",0.8175406880045384,0.475868,0.503289,0.503289,0.563318,0.548185,0.548185,323210623130070.06,337071203191446.25,337071203191446.25,20.75,19260817.0,-1.0,0.531973,0.603774,0.603774
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.482955,0.509579,0.509579,0.559496,0.544703,0.544703,332884416004273.75,344067959999939.25,344067959999939.25,20.86,19260817.0,-1.0,0.52449,0.603774,0.603774
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts']",0.8421594803742163,0.485301,0.512843,0.512843,0.558226,0.542887,0.542887,316847546667112.1,327054362256114.56,327054362256114.56,23.59,19260817.0,-1.0,0.515646,0.590147,0.590147
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs']",0.8541358029977908,0.48388,0.512088,0.512088,0.558996,0.543308,0.543308,287878301217717.94,297276171542342.94,297276171542342.94,30.2,19260817.0,-1.0,0.509977,0.581761,0.581761
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds']",0.8659768297633487,0.485134,0.513215,0.513215,0.558316,0.54268,0.54268,311099903704881.06,322195977129949.7,322195977129949.7,27.5,19260817.0,-1.0,0.520181,0.600629,0.600629
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks']",0.8764627957636986,0.487573,0.516884,0.516884,0.556992,0.540631,0.540631,305033144341081.25,314177850435213.9,314177850435213.9,31.72,19260817.0,-1.0,0.511111,0.568134,0.568134
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.486075,0.514925,0.514925,0.557806,0.541726,0.541726,297754681696041.0,306873874592954.1,306873874592954.1,33.92,19260817.0,-1.0,0.519048,0.58805,0.58805
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals']",0.8934391461254398,0.488728,0.517841,0.517841,0.556364,0.540095,0.540095,305328117219233.44,316291191434581.5,316291191434581.5,34.36,19260817.0,-1.0,0.518821,0.58805,0.58805
50.0,12.0,0.7,0.7,0.01,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances']",0.9003977265227703,0.480399,0.508913,0.508913,0.560878,0.545073,0.545073,291590957889470.3,303165957979584.9,303165957979584.9,38.41,19260817.0,-1.0,0.527438,0.597484,0.597484
