n_hidden_layers,alpha,learning_rate_init,activation,hidden_layer_n_neurons,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,max_iter,learning_rate,batch_size,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
1.0,1e-08,0.0001,logistic,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.477514,0.502903,0.502903,0.562433,0.548398,0.548398,629618142012632.0,633518041351816.9,633518041351816.9,28.71,19260817.0,1000.0,adaptive,auto,0.506576,0.568134,0.568134
1.0,1e-08,0.0001,logistic,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.486254,0.5111,0.5111,0.557709,0.543858,0.543858,707287491028717.4,716491007461758.8,716491007461758.8,33.65,19260817.0,1000.0,adaptive,auto,0.521542,0.567086,0.567086
1.0,1e-08,0.0001,logistic,60.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.494203,0.523009,0.523009,0.553378,0.537193,0.537193,640830232897647.8,646122219083388.5,646122219083388.5,27.83,19260817.0,1000.0,adaptive,auto,0.506576,0.568134,0.568134
1.0,1e-08,0.0001,logistic,60.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.59908,0.541981,0.541981,0.492677,0.526401,0.526401,614557501595392.6,690425389576899.2,690425389576899.2,217.02,19260817.0,1000.0,adaptive,auto,0.590023,0.582809,0.582809
1.0,1e-08,0.0001,relu,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.497401,0.526614,0.526614,0.551625,0.535159,0.535159,628233758538102.5,633434897262957.4,633434897262957.4,17.65,19260817.0,1000.0,adaptive,auto,0.506576,0.572327,0.572327
1.0,1e-08,0.0001,relu,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.507381,0.536347,0.536347,0.546121,0.529629,0.529629,691263397552393.6,701963842328404.9,701963842328404.9,22.01,19260817.0,1000.0,adaptive,auto,0.526304,0.563941,0.563941
1.0,1e-08,0.0001,relu,60.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.527866,0.562241,0.562241,0.534646,0.514628,0.514628,439556241893578.4,449331467675015.44,449331467675015.44,28.53,19260817.0,1000.0,adaptive,auto,0.514512,0.580713,0.580713
1.0,1e-08,0.0001,relu,60.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.609578,0.543491,0.543491,0.486184,0.525533,0.525533,560922840781130.8,646648558200693.2,646648558200693.2,208.52,19260817.0,1000.0,adaptive,auto,0.577098,0.568134,0.568134
1.0,1e-08,0.1,logistic,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.442204,0.463497,0.463497,0.581127,0.56972,0.56972,845520392493574.9,846013803288188.4,846013803288188.4,6.32,19260817.0,1000.0,adaptive,auto,0.505215,0.557652,0.557652
1.0,1e-08,0.1,logistic,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.354842,0.372256,0.372256,0.62498,0.616264,0.616264,1030600059442587.8,1028789592967566.4,1028789592967566.4,17.02,19260817.0,1000.0,adaptive,auto,0.481633,0.554507,0.554507
