max_bins,min_samples_leaf,interactions,max_leaves,learning_rate,max_rounds,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.530605,0.56306,0.56306,0.533093,0.514146,0.514146,449167219243150.56,460156473577002.25,460156473577002.25,10.86,19260817.0,-1.0,0.517007,0.57652,0.57652
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals']",0.7765535537689908,0.546416,0.576637,0.576637,0.524037,0.506094,0.506094,457180433920690.94,478886917149085.4,478886917149085.4,8.63,19260817.0,-1.0,0.534694,0.574423,0.574423
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances']",0.7919471007529546,0.552187,0.578896,0.578896,0.520693,0.504742,0.504742,454559865847121.0,485384979955851.8,485384979955851.8,13.18,19260817.0,-1.0,0.544671,0.567086,0.567086
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts']",0.8049857274440886,0.556625,0.578853,0.578853,0.518106,0.504768,0.504768,458507300266922.0,490824224110734.9,490824224110734.9,14.25,19260817.0,-1.0,0.546259,0.592243,0.592243
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances']",0.8175406880045384,0.559245,0.580424,0.580424,0.516573,0.503826,0.503826,453074766091607.44,485118882740395.4,485118882740395.4,13.51,19260817.0,-1.0,0.540136,0.585954,0.585954
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.561207,0.576745,0.576745,0.515422,0.50603,0.50603,454046448869173.0,491662391381408.9,491662391381408.9,15.81,19260817.0,-1.0,0.543537,0.590147,0.590147
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts']",0.8421594803742163,0.562966,0.57453,0.57453,0.514388,0.507352,0.507352,470032801194568.8,512198907730395.25,512198907730395.25,17.28,19260817.0,-1.0,0.545125,0.583857,0.583857
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs']",0.8541358029977908,0.563508,0.572206,0.572206,0.514069,0.508736,0.508736,472332221860735.9,515846495353748.8,515846495353748.8,18.35,19260817.0,-1.0,0.547619,0.581761,0.581761
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds']",0.8659768297633487,0.564729,0.571995,0.571995,0.51335,0.508862,0.508862,475769980124273.0,520700430895677.56,520700430895677.56,19.4,19260817.0,-1.0,0.545125,0.581761,0.581761
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks']",0.8764627957636986,0.564862,0.571774,0.571774,0.513271,0.508993,0.508993,476228052182511.1,522510832152057.0,522510832152057.0,22.26,19260817.0,-1.0,0.543764,0.569182,0.569182
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.565359,0.571813,0.571813,0.512978,0.50897,0.50897,481664903228616.0,525810258056648.6,525810258056648.6,22.7,19260817.0,-1.0,0.547166,0.567086,0.567086
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals']",0.8934391461254398,0.564688,0.570798,0.570798,0.513374,0.509573,0.509573,488654512868884.7,530692521759461.3,530692521759461.3,22.11,19260817.0,-1.0,0.553061,0.582809,0.582809
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances']",0.9003977265227703,0.56307,0.570566,0.570566,0.514327,0.50971,0.50971,504428181982695.2,543145663173933.4,543145663173933.4,25.83,19260817.0,-1.0,0.551474,0.571279,0.571279
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50']",0.906940299335011,0.563144,0.570353,0.570353,0.514283,0.509836,0.509836,505155556173131.1,543710081246827.75,543710081246827.75,25.19,19260817.0,-1.0,0.555102,0.568134,0.568134
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s']",0.9130469708326392,0.563659,0.570468,0.570468,0.51398,0.509768,0.509768,509683885819134.0,546403301256907.9,546403301256907.9,28.39,19260817.0,-1.0,0.556916,0.574423,0.574423
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.564269,0.571052,0.571052,0.513621,0.509422,0.509422,512121761067692.75,552725860542467.1,552725860542467.1,29.62,19260817.0,-1.0,0.54263,0.575472,0.575472
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists']",0.9248985490429719,0.56427,0.571309,0.571309,0.51362,0.509269,0.509269,512718595713370.6,553291071888651.75,553291071888651.75,28.83,19260817.0,-1.0,0.54127,0.572327,0.572327
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions']",0.9306217431588558,0.564817,0.570094,0.570094,0.513297,0.50999,0.50999,515853882983386.8,559556868554062.44,559556868554062.44,30.38,19260817.0,-1.0,0.546032,0.578616,0.578616
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains']",0.9362167668092989,0.565184,0.568682,0.568682,0.513081,0.510827,0.510827,518903784522729.25,563077543520814.0,563077543520814.0,31.8,19260817.0,-1.0,0.545351,0.573375,0.573375
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s']",0.9417404842109905,0.565543,0.566567,0.566567,0.512869,0.512078,0.512078,519424719595640.5,564842383736557.4,564842383736557.4,33.29,19260817.0,-1.0,0.550567,0.573375,0.573375
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.565713,0.566236,0.566236,0.512769,0.512274,0.512274,520399900282137.25,567379021176803.2,567379021176803.2,35.49,19260817.0,-1.0,0.549887,0.585954,0.585954
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained']",0.9523402288050722,0.566791,0.565607,0.565607,0.512132,0.512645,0.512645,528762636796726.06,575488334305775.9,575488334305775.9,38.35,19260817.0,-1.0,0.546712,0.583857,0.583857
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements']",0.9575623339697504,0.566775,0.565075,0.565075,0.512141,0.512959,0.512959,528403163325029.1,574773475179808.5,574773475179808.5,37.84,19260817.0,-1.0,0.551247,0.577568,0.577568
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists']",0.9622116975748499,0.567031,0.56512,0.56512,0.51199,0.512932,0.512932,527656615466473.2,574540803607791.9,574540803607791.9,41.74,19260817.0,-1.0,0.550794,0.580713,0.580713
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50']",0.9668398251654758,0.567584,0.564285,0.564285,0.511663,0.513424,0.513424,531462635026039.5,578507230453192.5,578507230453192.5,40.02,19260817.0,-1.0,0.552381,0.57652,0.57652
1024.0,4.0,8.0,1000.0,0.1,50.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319709,0.567796,0.563217,0.563217,0.511538,0.514053,0.514053,531775927278225.1,580061416231320.9,580061416231320.9,46.5,19260817.0,-1.0,0.552608,0.573375,0.573375
