n_estimators,max_depth,subsample,colsample_bylevel,max_bin,reg_lambda,learning_rate,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,verbose,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
50.0,16.0,0.7,0.7,256.0,0.01,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.539516,0.56458,0.56458,0.528008,0.513251,0.513251,429863599774993.94,440447820587057.2,440447820587057.2,14.09,19260817.0,False,0.531519,0.582809,0.582809
50.0,16.0,0.7,0.7,256.0,0.01,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals']",0.7765535537689908,0.566763,0.57267,0.57267,0.512149,0.50846,0.50846,419993967513830.7,446413733746354.25,446413733746354.25,12.64,19260817.0,False,0.565986,0.593291,0.593291
50.0,16.0,0.7,0.7,256.0,0.01,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances']",0.7919471007529546,0.591794,0.567914,0.567914,0.497133,0.511282,0.511282,401258753661918.56,453345849295571.2,453345849295571.2,13.03,19260817.0,False,0.569615,0.590147,0.590147
50.0,16.0,0.7,0.7,256.0,0.01,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts']",0.8049857274440886,0.604841,0.576433,0.576433,0.489125,0.506216,0.506216,392667306445243.0,446956629834882.7,446956629834882.7,14.6,19260817.0,False,0.573469,0.59434,0.59434
50.0,16.0,0.7,0.7,256.0,0.01,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances']",0.8175406880045384,0.618278,0.578651,0.578651,0.480736,0.504889,0.504889,387670653221929.7,447829425375778.94,447829425375778.94,15.79,19260817.0,False,0.576644,0.600629,0.600629
50.0,16.0,0.7,0.7,256.0,0.01,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.629983,0.576617,0.576617,0.473308,0.506106,0.506106,380246100026203.94,451446657679542.25,451446657679542.25,17.66,19260817.0,False,0.58322,0.598532,0.598532
50.0,16.0,0.7,0.7,256.0,0.01,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts']",0.8421594803742163,0.639149,0.572359,0.572359,0.46741,0.508645,0.508645,372936947661710.7,456403011899147.7,456403011899147.7,20.35,19260817.0,False,0.602041,0.599581,0.599581
50.0,16.0,0.7,0.7,256.0,0.01,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs']",0.8541358029977908,0.638975,0.574343,0.574343,0.467522,0.507464,0.507464,374801172835189.75,455873495164290.9,455873495164290.9,27.91,19260817.0,False,0.592744,0.582809,0.582809
50.0,16.0,0.7,0.7,256.0,0.01,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds']",0.8659768297633487,0.653791,0.568403,0.568403,0.457828,0.510993,0.510993,364984307515355.25,460693520689476.7,460693520689476.7,24.64,19260817.0,False,0.59229,0.589099,0.589099
50.0,16.0,0.7,0.7,256.0,0.01,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks']",0.8764627957636986,0.664728,0.571818,0.571818,0.450539,0.508967,0.508967,360650582778954.3,464347885640239.56,464347885640239.56,24.3,19260817.0,False,0.597052,0.556604,0.556604
50.0,16.0,0.7,0.7,256.0,0.01,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.676201,0.573821,0.573821,0.442763,0.507775,0.507775,352463357338280.44,463855036324044.56,463855036324044.56,25.75,19260817.0,False,0.60839,0.581761,0.581761
50.0,16.0,0.7,0.7,256.0,0.01,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals']",0.8934391461254398,0.680457,0.572647,0.572647,0.439843,0.508474,0.508474,348985479407922.7,457710413540224.3,457710413540224.3,26.54,19260817.0,False,0.599093,0.590147,0.590147
50.0,16.0,0.7,0.7,256.0,0.01,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances']",0.9003977265227703,0.686388,0.573137,0.573137,0.435742,0.508182,0.508182,345920675886035.0,457546672675010.56,457546672675010.56,27.73,19260817.0,False,0.604535,0.601677,0.601677
50.0,16.0,0.7,0.7,256.0,0.01,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50']",0.906940299335011,0.693417,0.57305,0.57305,0.430831,0.508234,0.508234,343906790323428.0,458351198241815.06,458351198241815.06,27.11,19260817.0,False,0.611791,0.582809,0.582809
50.0,16.0,0.7,0.7,256.0,0.01,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s']",0.9130469708326392,0.692246,0.572123,0.572123,0.431653,0.508786,0.508786,344519763626781.7,459760886743559.8,459760886743559.8,26.91,19260817.0,False,0.6161,0.575472,0.575472
50.0,16.0,0.7,0.7,256.0,0.01,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.688008,0.573316,0.573316,0.434615,0.508076,0.508076,347324057881184.44,458743361351717.44,458743361351717.44,28.45,19260817.0,False,0.621995,0.583857,0.583857
