n_estimators,max_depth,subsample,colsample_bytree,gamma,eta,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
20.0,3.0,0.85,0.4,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-6.090888868600479e+37,-6.095324751932837e+37,-6.095324751932837e+37,6.07258550096985e+18,6.07258552856223e+18,6.07258552856223e+18,2.375213710926937e+34,2.37547962348192e+34,2.37547962348192e+34,6.15,19260817.0,2.0,0.235374,0.21174,0.21174
100.0,3.0,0.4,0.4,1e-08,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.399938,-0.399671,-0.399671,0.920636,0.920213,0.920213,1936241376143552.8,1936460599226990.5,1936460599226990.5,12.58,19260817.0,2.0,0.235374,0.21174,0.21174
100.0,192.0,0.4,0.85,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.94,19260817.0,2.0,0.0,0.0,0.0
100.0,192.0,0.85,0.85,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.396958,-0.396698,-0.396698,0.919655,0.919235,0.919235,1936226487370682.5,1936452264154032.0,1936452264154032.0,47.55,19260817.0,2.0,0.235374,0.21174,0.21174
20.0,24.0,0.4,0.4,0.1,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,-4.257126892502027e+37,-4.260221775389115e+37,-4.260221775389115e+37,5.076818042500823e+18,5.076814785459306e+18,5.076814785459306e+18,1.9857385384576525e+34,1.985959885154119e+34,1.985959885154119e+34,48.23,19260817.0,2.0,0.235374,0.21174,0.21174
100.0,192.0,0.85,0.85,0.1,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.53,19260817.0,2.0,0.0,0.0,0.0
20.0,24.0,0.4,0.85,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,-5.327600253182023e+37,-5.331475942384008e+37,-5.331475942384008e+37,5.679356306572454e+18,5.679354039457123e+18,5.679354039457123e+18,2.221409691625534e+34,2.2216572355482816e+34,2.2216572355482816e+34,19.7,19260817.0,2.0,0.235374,0.21174,0.21174
20.0,192.0,0.4,0.4,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,-3.7348362439382e+37,-3.737552636751252e+37,-3.737552636751252e+37,4.755203230928527e+18,4.755200949497818e+18,4.755200949497818e+18,1.8599434428292431e+34,1.86015095908418e+34,1.86015095908418e+34,56.52,19260817.0,2.0,0.235374,0.21174,0.21174
100.0,3.0,0.85,0.85,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.61,19260817.0,2.0,0.0,0.0,0.0
100.0,3.0,0.4,0.4,1e-08,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,-0.398215,-0.398075,-0.398075,0.920069,0.919688,0.919688,1936236047298039.2,1936450930580318.8,1936450930580318.8,30.0,19260817.0,2.0,0.235374,0.21174,0.21174
100.0,192.0,0.4,0.4,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.399615,-0.399331,-0.399331,0.920529,0.920101,0.920101,1936226038903220.8,1936443039204856.8,1936443039204856.8,20.18,19260817.0,2.0,0.235374,0.21174,0.21174
20.0,192.0,0.4,0.4,1e-08,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.41036,-0.410536,-0.410536,0.924056,0.923777,0.923777,1951776671332972.8,1951995146227464.5,1951995146227464.5,3.44,19260817.0,2.0,0.235374,0.21174,0.21174
20.0,24.0,0.85,0.85,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.409812,-0.409997,-0.409997,0.923877,0.923601,0.923601,1951777983683276.8,1951998301735692.0,1951998301735692.0,7.63,19260817.0,2.0,0.235374,0.21174,0.21174
20.0,3.0,0.4,0.4,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-6.078126297462736e+37,-6.082552830771845e+37,-6.082552830771845e+37,6.066220055207608e+18,6.066220055207608e+18,6.066220055207608e+18,2.3727239700694263e+34,2.3729895944314143e+34,2.3729895944314143e+34,1.27,19260817.0,2.0,0.235374,0.21174,0.21174
20.0,192.0,0.4,0.85,0.1,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.409819,-0.410003,-0.410003,0.923879,0.923603,0.923603,1951778126910926.5,1951999430434118.5,1951999430434118.5,9.63,19260817.0,2.0,0.235374,0.21174,0.21174
20.0,3.0,0.85,0.85,1e-08,0.0001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,-0.409419,-0.409618,-0.409618,0.923748,0.923477,0.923477,1951760696355066.5,1951976808812064.0,1951976808812064.0,8.25,19260817.0,2.0,0.235374,0.21174,0.21174
20.0,24.0,0.4,0.85,1e-08,10.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,-4.5586210231502765e+37,-4.561928908762277e+37,-4.561928908762277e+37,5.253515827333268e+18,5.253508898446163e+18,5.253508898446163e+18,2.0548539746476424e+34,2.055081526098953e+34,2.055081526098953e+34,37.13,19260817.0,2.0,0.235374,0.21174,0.21174
