Ranking,Player,Votes
1,Nick Daicos,36
2,Zak Butters,31
3,Lachie Neale,28
4,Christian Petracca,27
5,Noah Anderson,27
6,Caleb Serong,26
7,Marcus Bontempelli,26
8,Errol Gulden,25
9,Connor Rozee,24
10,Darcy Parish,23
11,Tim Taranto,23
12,Jack Sinclair,23
13,Tom Green,21
14,Rory Laird,20
15,Jordan Dawson,19
16,Jack Viney,18
17,Tim Kelly,18
18,Andrew Brayshaw,17
19,Adam Cerra,17
20,Charlie Curnow,17
21,Toby Greene,16
22,Clayton Oliver,16
23,Jai Newcombe,16
24,Chad Warner,15
25,James Sicily,15
26,Matt Rowell,14
27,Dan Houston,14
28,Stephen Coniglio,13
29,Jordan De Goey,13
30,Josh Daicos,13
31,Patrick Cripps,13
32,Dustin Martin,13
33,Luke Jackson,12
34,Taylor Walker,12
35,Jeremy Cameron,12
36,Rowan Marshall,11
37,Luke Parker,11
38,Patrick Dangerfield,11
39,Josh Dunkley,10
40,Shai Bolton,10
41,Adam Treloar,10
42,Nick Blakey,9
43,Tom Mitchell,9
44,Harry Sheezel,8
45,Daniel Rioli,8
46,Luke Ryan,8
47,Zachary Merrett,8
48,Gryan Miers,8
49,Max Holmes,8
50,James Worpel,8
51,Will Day,8
52,Scott Pendlebury,7
53,Harris Andrews,7
54,Hugh McCluggage,7
55,Joe Daniher,7
56,Angus Brayshaw,7
57,Nick Larkey,6
58,George Hewett,6
59,Will Ashcroft,6
60,Sam Docherty,6
61,Jordan Ridley,6
62,Lachie Whitfield,6
63,Bailey Smith,6
64,Caleb Daniel,6
65,Mitchell Hinge,6
66,Sam Taylor,6
67,Max Gawn,6
68,Jack Steele,6
69,Kyle Langford,6
70,Luke D-Uniacke,5
71,Callum Wilkie,5
72,Darcy Moore,5
73,Bailey Dale,5
74,Izak Rankine,5
75,Mason Redman,5
76,Oliver Florent,5
77,Joshua Kelly,5
78,Tom Atkins,5
79,Matt Crouch,5
80,Sean Darcy,5
81,Kysaiah Pickett,4
82,Brennan Cox,4
83,Dylan Moore,4
84,Jack Lukosius,4
85,Thomas Liberatore,4
86,Peter Wright,4
87,Brad Crouch,4
88,Cody Weightman,4
89,Jeremy Finlayson,4
90,Tom Hawkins,4
91,Karl Amon,4
92,Dayne Zorko,4
93,Mason Wood,4
94,Touk Miller,4
95,Blake Acres,4
96,Brodie Smith,4
97,Charlie Cameron,4
98,Jake Stringer,4
99,Jayden Short,4
100,Ryan Burton,3
101,Oliver Wines,3
102,Conor Nash,3
103,Bailey Scott,3
104,Jack Riewoldt,3
105,Ben Keays,3
106,Ed Langdon,3
107,Connor MacDonald,3
108,Brayden Fiorini,3
109,Ben Ainsworth,3
110,Eric Hipwood,3
111,Sam Walsh,3
112,Taylor Adams,3
113,Sam Flanders,3
114,Callum Mills,3
115,Alex Pearce,3
116,Jarrod Berry,3
117,Zac Fisher,3
118,Jesse Hogan,3
119,Jake Lever,3
120,Bradley Hill,3
121,Rory Lobb,3
122,Tom Papley,3
123,Travis Boak,3
124,Dane Rampe,2
125,Archie Perkins,2
126,Charlie Dixon,2
127,Liam Duggan,2
128,Dominic Sheed,2
129,Kieren Briggs,2
130,Zac Bailey,2
131,Liam Henry,2
132,Gary Rohan,2
133,Luke Shuey,2
134,Steven May,2
135,Isaac Quaynor,2
136,Jack Silvagni,2
137,Rory Atkins,2
138,Dion Prestia,2
139,Jamaine Jones,2
140,Nic Newman,2
141,Ben King,2
142,Luke Breust,2
143,Harrison Petty,2
144,Paul Curtis,2
145,Jack Ziebell,2
146,Sebastian Ross,2
147,David Swallow,2
148,Isaac Smith,2
149,Liam Baker,2
150,Riley Thilthorpe,2
151,Cameron Rayner,2
152,Harry McKay,2
153,Jack Higgins,2
154,Sam Draper,2
155,Steele Sidebottom,2
156,Mark Blicavs,2
157,Rory Sloane,2
158,Wil Powell,2
159,Brody Mihocek,2
160,Ed Richards,2
161,Jaeger O'Meara,1
162,Joshua Weddle,1
163,Jy Simpkin,1
164,Brent Daniels,1
165,Jarrod Witts,1
166,Jake Lloyd,1
167,Jayden Hunt,1
168,Will Phillips,1
169,Jye Caldwell,1
170,Jack Crisp,1
171,Trent Cotchin,1
172,Kane Farrell,1
173,John Noble,1
174,Jack Gunston,1
175,Jacob Hopper,1
176,Adam Saad,1
177,Darcy Cameron,1
178,Will Setterfield,1
179,Darcy Fogarty,1
180,Hayden McLean,1
181,Nicholas Martin,1
182,Will Hayward,1
183,Jordan Clark,1
184,Callan Ward,1
185,Trent Rivers,1
186,Jamie Cripps,1
187,Sam Switkowski,1
188,Cameron Guthrie,1
189,Chayce Jones,1
190,Bailey Williams,1
191,Hayden Young,1
192,Miles Bergman,1
193,Nathan Broad,1
194,Charlie Ballard,1
